trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
840,False,"{'a': 0.5, 'e': 0.7939115263528024}",20,0,-113.88345646111233,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
841,False,"{'a': 0.5, 'e': 0.7934376275745656}",30,0,-114.81346412496782,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
842,False,"{'a': 0.5, 'e': 0.7929632473058699}",30,0,-69.55944611542625,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
843,False,"{'a': 0.5, 'e': 0.7924883858345885}",30,0,-102.06643754480339,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
844,False,"{'a': 0.5, 'e': 0.7920130434488869}",20,12,-22.4123392302,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
845,False,"{'a': 0.5, 'e': 0.7915372204372223}",25,0,-120.18735579620578,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
846,False,"{'a': 0.5, 'e': 0.7910609170883436}",25,0,-166.94040995385268,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
847,False,"{'a': 0.5, 'e': 0.7905841336912912}",25,0,-71.1577739494694,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
848,False,"{'a': 0.5, 'e': 0.7901068705353967}",20,0,-32.729344615978206,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
849,False,"{'a': 0.5, 'e': 0.7896291279102832}",30,13,-22.104015718140552,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
850,False,"{'a': 0.5, 'e': 0.7891509061058642}",25,0,-172.40546650220267,"{0: 13, 1: 5, 2: 2, 3: 3, 4: 2}",0
851,False,"{'a': 0.5, 'e': 0.7886722054123444}",20,0,-131.14955482995836,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
852,False,"{'a': 0.5, 'e': 0.7881930261202191}",20,0,-130.66686726815277,"{0: 12, 1: 0, 2: 3, 3: 4, 4: 1}",0
853,False,"{'a': 0.5, 'e': 0.7877133685202737}",30,0,-66.06265246092009,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
854,False,"{'a': 0.5, 'e': 0.7872332329035844}",25,0,-105.24861243845592,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
855,False,"{'a': 0.5, 'e': 0.7867526195615169}",20,0,-42.63927364451136,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
856,False,"{'a': 0.5, 'e': 0.7862715287857269}",25,0,-79.0197193904392,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
857,False,"{'a': 0.5, 'e': 0.7857899608681604}",20,0,-100.23771016457141,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
858,False,"{'a': 0.5, 'e': 0.7853079161010524}",25,0,-68.44083621316564,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
859,False,"{'a': 0.5, 'e': 0.7848253947769275}",20,0,-133.1110534026788,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
860,False,"{'a': 0.5, 'e': 0.784342397188599}",25,0,-113.1592661618884,"{0: 16, 1: 4, 2: 1, 3: 3, 4: 1}",0
861,False,"{'a': 0.5, 'e': 0.7838589236291702}",30,0,-199.59468825403005,"{0: 19, 1: 1, 2: 4, 3: 3, 4: 3}",0
862,False,"{'a': 0.5, 'e': 0.7833749743920322}",20,0,-187.19729462504685,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
863,False,"{'a': 0.5, 'e': 0.7828905497708655}",30,0,-98.93882261882607,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
864,False,"{'a': 0.5, 'e': 0.7824056500596386}",35,0,-153.95695418829973,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
865,False,"{'a': 0.5, 'e': 0.7819202755526087}",25,0,-63.90442795504621,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
866,False,"{'a': 0.5, 'e': 0.7814344265443209}",25,0,-130.58326602619678,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
867,False,"{'a': 0.5, 'e': 0.7809481033296082}",25,0,-126.9268727150819,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
868,False,"{'a': 0.5, 'e': 0.7804613062035914}",20,0,-147.81195501144614,"{0: 6, 1: 4, 2: 7, 3: 3, 4: 0}",0
869,False,"{'a': 0.5, 'e': 0.7799740354616792}",25,0,-79.29946128756345,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
870,False,"{'a': 0.5, 'e': 0.7794862913995672}",20,0,-89.08619571063872,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
871,False,"{'a': 0.5, 'e': 0.7789980743132385}",30,0,-146.27730574209465,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
872,False,"{'a': 0.5, 'e': 0.7785093844989635}",25,0,-162.43538520120353,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
873,False,"{'a': 0.5, 'e': 0.7780202222532987}",25,0,-151.4084093085808,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
874,False,"{'a': 0.5, 'e': 0.7775305878730883}",20,0,-92.55850840061028,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
875,False,"{'a': 0.5, 'e': 0.7770404816554622}",30,0,-91.84813427192253,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
876,False,"{'a': 0.5, 'e': 0.7765499038978371}",20,0,-63.595248208046,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
877,False,"{'a': 0.5, 'e': 0.7760588548979154}",25,0,-91.98109208211046,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
878,False,"{'a': 0.5, 'e': 0.7755673349536861}",30,0,-155.13045914386404,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
